TIME,TEMPERATURE_2M
2022-12-05T00:00,3.9
2022-12-05T01:00,4.0
2022-12-05T02:00,4.3
2022-12-05T03:00,4.5
2022-12-05T04:00,4.7
2022-12-05T05:00,4.9
2022-12-05T06:00,5.2
2022-12-05T07:00,5.1
2022-12-05T08:00,5.2
2022-12-05T09:00,5.2
2022-12-05T10:00,5.7
2022-12-05T11:00,6.5
2022-12-05T12:00,7.0
2022-12-05T13:00,7.5
2022-12-05T14:00,7.7
2022-12-05T15:00,7.4
2022-12-05T16:00,7.1
2022-12-05T17:00,6.9
2022-12-05T18:00,6.9
2022-12-05T19:00,6.6
2022-12-05T20:00,6.4
2022-12-05T21:00,6.3
2022-12-05T22:00,6.1
2022-12-05T23:00,5.9
2022-12-06T00:00,5.6
2022-12-06T01:00,5.3
2022-12-06T02:00,5.3
2022-12-06T03:00,5.5
2022-12-06T04:00,5.5
2022-12-06T05:00,5.3
2022-12-06T06:00,5.3
2022-12-06T07:00,5.2
2022-12-06T08:00,5.2
2022-12-06T09:00,5.2
2022-12-06T10:00,5.3
2022-12-06T11:00,5.6
2022-12-06T12:00,6.1
2022-12-06T13:00,6.5
2022-12-06T14:00,6.7
2022-12-06T15:00,6.3
2022-12-06T16:00,5.5
2022-12-06T17:00,4.9
2022-12-06T18:00,4.6
2022-12-06T19:00,4.2
2022-12-06T20:00,3.9
2022-12-06T21:00,3.5
2022-12-06T22:00,3.2
2022-12-06T23:00,2.5
2022-12-07T00:00,2.1
2022-12-07T01:00,1.8
2022-12-07T02:00,1.6
2022-12-07T03:00,1.4
2022-12-07T04:00,1.1
2022-12-07T05:00,1.0
2022-12-07T06:00,0.8
2022-12-07T07:00,0.8
2022-12-07T08:00,0.9
2022-12-07T09:00,1.2
2022-12-07T10:00,1.9
2022-12-07T11:00,2.9
2022-12-07T12:00,3.7
2022-12-07T13:00,4.5
2022-12-07T14:00,4.4
2022-12-07T15:00,4.2
2022-12-07T16:00,3.5
2022-12-07T17:00,2.6
2022-12-07T18:00,1.9
2022-12-07T19:00,1.2
2022-12-07T20:00,0.7
2022-12-07T21:00,0.4
2022-12-07T22:00,0.2
2022-12-07T23:00,0.0
2022-12-08T00:00,-0.1
2022-12-08T01:00,-0.4
2022-12-08T02:00,-0.6
2022-12-08T03:00,-0.7
2022-12-08T04:00,-0.8
2022-12-08T05:00,-0.9
2022-12-08T06:00,-0.9
2022-12-08T07:00,-1.0
2022-12-08T08:00,-1.1
2022-12-08T09:00,-1.0
2022-12-08T10:00,-0.5
2022-12-08T11:00,0.6
2022-12-08T12:00,1.5
2022-12-08T13:00,2.0
2022-12-08T14:00,2.3
2022-12-08T15:00,2.2
2022-12-08T16:00,1.4
2022-12-08T17:00,0.8
2022-12-08T18:00,0.6
2022-12-08T19:00,0.2
2022-12-08T20:00,-0.1
2022-12-08T21:00,-0.4
2022-12-08T22:00,-0.5
2022-12-08T23:00,-0.5
2022-12-09T00:00,-0.6
2022-12-09T01:00,-0.8
2022-12-09T02:00,-1.0
2022-12-09T03:00,-1.3
2022-12-09T04:00,-1.4
2022-12-09T05:00,-1.6
2022-12-09T06:00,-1.7
2022-12-09T07:00,-1.8
2022-12-09T08:00,-1.9
2022-12-09T09:00,-1.7
2022-12-09T10:00,-1.2
2022-12-09T11:00,-0.5
2022-12-09T12:00,0.3
2022-12-09T13:00,0.5
2022-12-09T14:00,0.6
2022-12-09T15:00,0.5
2022-12-09T16:00,0.4
2022-12-09T17:00,0.3
2022-12-09T18:00,0.0
2022-12-09T19:00,-0.2
2022-12-09T20:00,-0.4
2022-12-09T21:00,-0.7
2022-12-09T22:00,-0.8
2022-12-09T23:00,-1.0
2022-12-10T00:00,-1.2
2022-12-10T01:00,-1.5
2022-12-10T02:00,-1.7
2022-12-10T03:00,-2.0
2022-12-10T04:00,-2.2
2022-12-10T05:00,-2.3
2022-12-10T06:00,-2.3
2022-12-10T07:00,-2.2
2022-12-10T08:00,-2.1
2022-12-10T09:00,-1.6
2022-12-10T10:00,-0.8
2022-12-10T11:00,0.3
2022-12-10T12:00,1.5
2022-12-10T13:00,2.0
2022-12-10T14:00,2.0
2022-12-10T15:00,1.7
2022-12-10T16:00,1.4
2022-12-10T17:00,0.9
2022-12-10T18:00,0.4
2022-12-10T19:00,0.1
2022-12-10T20:00,-0.0
2022-12-10T21:00,-0.3
2022-12-10T22:00,-0.6
2022-12-10T23:00,-0.9
2022-12-11T00:00,-1.3
2022-12-11T01:00,-1.6
2022-12-11T02:00,-1.8
2022-12-11T03:00,-2.1
2022-12-11T04:00,-2.3
2022-12-11T05:00,-2.6
2022-12-11T06:00,-2.8
2022-12-11T07:00,-2.7
2022-12-11T08:00,-2.6
2022-12-11T09:00,-2.3
2022-12-11T10:00,-2.1
2022-12-11T11:00,-1.9
2022-12-11T12:00,-1.6
2022-12-11T13:00,-1.4
2022-12-11T14:00,-1.1
2022-12-11T15:00,-0.9
2022-12-11T16:00,-0.9
2022-12-11T17:00,-1.1
2022-12-11T18:00,-1.4
2022-12-11T19:00,-1.5
2022-12-11T20:00,-1.6
2022-12-11T21:00,-1.8
2022-12-11T22:00,-2.0
2022-12-11T23:00,-2.2
